fecha,turno,loteria,posicion,numero,sorteo_nro
2025-07-31,Nocturna,Provincia,18,7225,12521
2025-07-31,Nocturna,Provincia,19,8731,12521
2025-07-31,Nocturna,Provincia,20,1343,12521
2025-08-01,Nocturna,Provincia,1,1150,12522
2025-08-01,Nocturna,Provincia,2,2890,12522
2025-08-01,Nocturna,Provincia,3,2459,12522
2025-08-01,Nocturna,Provincia,4,6230,12522
2025-08-01,Nocturna,Provincia,5,2154,12522
2025-08-01,Nocturna,Provincia,6,3274,12522
2025-08-01,Nocturna,Provincia,7,0752,12522
2025-08-01,Nocturna,Provincia,8,2289,12522
2025-08-01,Nocturna,Provincia,9,0289,12522
2025-08-01,Nocturna,Provincia,10,4127,12522
2025-08-01,Nocturna,Provincia,11,8228,12522
2025-08-01,Nocturna,Provincia,12,3480,12522
2025-08-01,Nocturna,Provincia,13,7893,12522
2025-08-01,Nocturna,Provincia,14,5476,12522
2025-08-01,Nocturna,Provincia,15,1171,12522
2025-08-01,Nocturna,Provincia,16,7966,12522
2025-08-01,Nocturna,Provincia,17,1161,12522
2025-08-01,Nocturna,Provincia,18,6989,12522
2025-08-01,Nocturna,Provincia,19,2463,12522
2025-08-01,Nocturna,Provincia,20,8528,12522
2025-08-02,Nocturna,Provincia,1,4253,12523
2025-08-02,Nocturna,Provincia,2,1917,12523
2025-08-02,Nocturna,Provincia,3,9617,12523
2025-08-02,Nocturna,Provincia,4,8946,12523
2025-08-02,Nocturna,Provincia,5,5553,12523
2025-08-02,Nocturna,Provincia,6,0935,12523
2025-08-02,Nocturna,Provincia,7,0764,12523
2025-08-02,Nocturna,Provincia,8,4327,12523
2025-08-02,Nocturna,Provincia,9,0738,12523
2025-08-02,Nocturna,Provincia,10,0342,12523
2025-08-02,Nocturna,Provincia,11,9887,12523
2025-08-02,Nocturna,Provincia,12,3195,12523
2025-08-02,Nocturna,Provincia,13,5037,12523
2025-08-02,Nocturna,Provincia,14,3137,12523
2025-08-02,Nocturna,Provincia,15,5014,12523
2025-08-02,Nocturna,Provincia,16,1910,12523
2025-08-02,Nocturna,Provincia,17,0291,12523
2025-08-02,Nocturna,Provincia,18,5883,12523
2025-08-02,Nocturna,Provincia,19,6356,12523
2025-08-02,Nocturna,Provincia,20,3233,12523
2025-08-04,Nocturna,Provincia,1,1641,12524
2025-08-04,Nocturna,Provincia,2,3910,12524
2025-08-04,Nocturna,Provincia,3,7884,12524
2025-08-04,Nocturna,Provincia,4,6976,12524
2025-08-04,Nocturna,Provincia,5,8668,12524
2025-08-04,Nocturna,Provincia,6,4864,12524
2025-08-04,Nocturna,Provincia,7,7614,12524
2025-08-04,Nocturna,Provincia,8,5685,12524
2025-08-04,Nocturna,Provincia,9,6351,12524
2025-08-04,Nocturna,Provincia,10,0786,12524
2025-08-04,Nocturna,Provincia,11,9639,12524
2025-08-04,Nocturna,Provincia,12,2103,12524
2025-08-04,Nocturna,Provincia,13,6560,12524
2025-08-04,Nocturna,Provincia,14,3770,12524
2025-08-04,Nocturna,Provincia,15,9483,12524
2025-08-04,Nocturna,Provincia,16,2386,12524
2025-08-04,Nocturna,Provincia,17,6720,12524
2025-08-04,Nocturna,Provincia,18,6727,12524
2025-08-04,Nocturna,Provincia,19,9677,12524
2025-08-04,Nocturna,Provincia,20,8438,12524
2025-08-05,Nocturna,Provincia,1,5715,12525
2025-08-05,Nocturna,Provincia,2,3020,12525
2025-08-05,Nocturna,Provincia,3,6807,12525
2025-08-05,Nocturna,Provincia,4,8380,12525
2025-08-05,Nocturna,Provincia,5,6481,12525
2025-08-05,Nocturna,Provincia,6,1147,12525
2025-08-05,Nocturna,Provincia,7,9594,12525
